Developer_ID,Experience_Years,Tools_Used,Games_NC,Games_LC,Games_TC,Dev_Frequency,NC_Challenge,LC_Challenge,TC_Challenge,Cost_NC,Cost_LC,Cost_TC,Time_NC,Time_LC,Time_TC,Proficiency_NC,Proficiency_LC,Proficiency_TC,Skill_Level,Preferred_Platform,Long_Term_Value,Recommended_for_Beginners,Techniques_NC,Techniques_LC,Techniques_TC
1,2,NC,0,0,0,Weekly,1,1,1,1,1,1,1,1,1,TRUE,TRUE,TRUE,2,LC,NC,LC,"Drag-and-Drop,Template-Based,Event-Based,Code-Free-Animation","Dynamic-Scripting,Visual/Textual-Scripting,Code-Blocks,API-Integration","Object-Oriented,Physics/Graphics-Programming,Writing-AI-Scripts,Backend/Server-Development,Procedural-Content-Generation"
2,5,"NC,LC",5,8,0,Occasionally,1,2,4,1,2,0,2,3,4,FALSE,TRUE,FALSE,3,LC,LC,NC,null,"Dynamic-Scripting,Visual/Textual-Scripting,Code-Blocks,API-Integration,Templates-Plugins",null
3,5,"LC,TC",0,5,4,Occasionally,1,2,2,0,1,1,0,1,2,FALSE,TRUE,TRUE,2,TC,NC,LC,null,"Dynamic-Scripting,Visual/Textual-Scripting,API-Integration","Object-Oriented,Physics/Graphics-Programming"
4,2,"NC,LC,TC",4,7,0,Monthly,1,2,4,1,1,3,1,1,4,FALSE,TRUE,TRUE,1,LC,TC,LC,null,"Dynamic-Scripting,Visual/Textual-Scripting,Code-Blocks,API-Integration,Templates-Plugins","Object-Oriented,Custom-Game-Engines,Physics/Graphics-Programming,Writing-AI-Scripts,Custom-Animations/Assets"
5,2,LC,5,0,3,Rarely,1,1,2,1,1,1,0,4,4,FALSE,TRUE,TRUE,2,LC,TC,NC,null,"Visual/Textual-Scripting,Code-Blocks,API-Integration,","Object-Oriented,Physics/Graphics-Programming,Procedural-Content-Generation,Custom-Animations/Assets"
6,10,"NC,LC",3,5,0,Daily,1,1,0,0,1,1,1,2,0,TRUE,TRUE,FALSE,4,LC,LC,NC,"Drag-and-Drop,Visual-Scripting,Template-Based,Event-Based,Asset-Marketplace",Visual/Textual-Scripting,null
7,5,LC,4,0,0,Weekly,1,2,4,1,0,0,2,0,0,TRUE,FALSE,FALSE,2,LC,TC,NC,"Visual-Scripting,Template-Based,Event-Based,Asset-Marketplace",null,null
8,1,NC,0,0,4,Rarely,1,1,2,2,2,2,3,3,4,FALSE,FALSE,TRUE,1,NC,NC,LC,null,null,Backend/Server-Development
9,5,TC,0,0,5,Rarely,0,0,3,0,0,4,0,0,1,FALSE,FALSE,TRUE,4,TC,TC,LC,null,null,"Object-Oriented,Backend/Server-Development,Custom-Animations/Assets"
10,5,LC,5,10,0,Occasionally,3,3,5,4,3,2,5,5,5,TRUE,FALSE,FALSE,2,NC,NC,NC,"Visual-Scripting,Asset-Marketplace",null,null
